"cv_metric_AUC","logLoss","AUC","prAUC","Accuracy","Kappa","F1","Sensitivity","Specificity","Pos_Pred_Value","Neg_Pred_Value","Precision","Recall","Detection_Rate","Balanced_Accuracy","method","seed","version"
0.62484375,0.689527461932119,0.634210526315789,0.625476136286304,0.512820512820513,0,0.677966101694915,1,0,0.512820512820513,NA,0.512820512820513,1,0.512820512820513,0.5,"glmnet",42,"Default"
0.631222426470588,0.671259240102449,0.631578947368421,0.620917545365955,0.564102564102564,0.124174372523118,0.604651162790698,0.65,0.473684210526316,0.565217391304348,0.5625,0.565217391304348,0.65,0.333333333333333,0.561842105263158,"glmnet",42,"Tuned"
0.657866115196078,0.661826086431957,0.696052631578947,0.6417855657413,0.666666666666667,0.335517693315858,0.648648648648649,0.6,0.736842105263158,0.705882352941176,0.636363636363636,0.705882352941177,0.6,0.307692307692308,0.668421052631579,"rf",42,"Default"
0.671308210784314,0.652443961391842,0.717105263157895,0.657632920300225,0.717948717948718,0.436268068331143,0.717948717948718,0.7,0.736842105263158,0.736842105263158,0.7,0.736842105263158,0.7,0.358974358974359,0.718421052631579,"rf",42,"Tuned"
